Food Name,Calories,Protein (g),Carbs (g),Fat (g),Rasa,Virya,Vipaka,Dosha Impact,Suitable For,Benefits,Dish Name,Main Ingredients,Ayurvedic Properties,Diabetes Management Benefits,Calories (per serving),Glycemic Index Estimate,Meal Timing Suggestion,Portion Size Recommendation,Notes,Calories_per_100g,Category
1 bowl of rava upma ,105,7.0,19.0,0.5,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"Rich in protein, aids digestion, and balances Vata",2 Methi Thepla with ghee,"Low-fat Dairy, Leafy Greens, Whole Grains","Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,182,48,Breakfast,1 medium serving,Consume freshly prepared for best benefits,99.81,
1 bowl of poha,18,0.6,3.5,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"Cools the body, supports weight loss, and improves digestion",2 besan chilla with ghee,"Legumes, Whole Grains, Spices","High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,276,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,17.88,
3 rava idli with coconut chutney,40,1.0,8.0,0.3,Kashaya,Sheeta,Katu,Balances Pitta,Weight Loss,"Low in calories, good for hydration, and balances Pitta",2 Moong Dal Chilla,"Spices, Legumes, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,137,39,Breakfast,1 medium serving,Consume freshly prepared for best benefits,41.84,Lunch
1 bowl of Plain Khichdi with 1 bowl of vegetable sald ,110,3.0,20.0,2.0,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"Easy to digest, nourishes the body, and balances Vata",2 roti with bindi sabji,"Spices, Leafy Greens, Vegetables","Stimulates digestion and helps in blood sugar regulation; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,149,36,Lunch,1 medium serving,Consume freshly prepared for best benefits,120.45,
1 handful of mixed seeds ,45,3.0,6.5,0.4,Tikta,Sheeta,Katu,Balances Pitta,Weight Loss,"Rich in iron, detoxifies the body, and balances Pitta",1 bowl Oats Idli,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,147,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,49.27,
1 bowl of roasted makhana,30,1.2,5.0,0.3,Kashaya,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Besan Chilla,"Leafy Greens, Spices, Vegetables","Rich in fiber and antioxidants, helps regulate blood sugar levels; Stimulates digestion and helps in blood sugar regulation; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,146,39,Lunch,1 medium serving,Consume freshly prepared for best benefits,32.25,
1 bowl of vegetable biryani with less oil,41,0.9,9.6,0.2,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with Palak Paneer (Low-fat),"Leafy Greens, Vegetables, Low-fat Dairy","Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,145,35,Lunch,1 medium serving,Consume freshly prepared for best benefits,41.68,
2 roti with bindi sabji,14,0.6,3.4,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with Tofu Bhurji,"Low-fat Dairy, Spices, Whole Grains","Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,324,36,Dinner,1 medium serving,Consume freshly prepared for best benefits,12.85,
2 roti with Karela Sabzi and bowl of salad,17,1.0,3.7,0.2,Tikta,Ushna,Katu,Balances Kapha & Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl Vegetable Khichdi,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,326,55,Lunch,1 medium serving,Consume freshly prepared for best benefits,18.29,
2 palak paratha with chutney,115,9.0,20.0,0.8,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Brown Rice Pulao,"Low-fat Dairy, Leafy Greens, Whole Grains","Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,222,47,Dinner,1 medium serving,Consume freshly prepared for best benefits,112.49,Snack
2 roti and mixed veg curry and Cucumber Salad,12,0.6,2.5,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 big bowl of Quinoa Vegetable Salad,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,311,42,Dinner,1 medium serving,Consume freshly prepared for best benefits,11.75,Dinner
2 roti and bottle gaurd sabji,32,1.0,7.0,0.2,Amla,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 Stuffed Paratha (Methi),"Vegetables, Low-fat Dairy, Spices","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,170,46,Dinner,1 medium serving,Consume freshly prepared for best benefits,32.67,
1 bowl of brown rice with sambar ,130,3.0,22.0,3.5,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable Dalia,"Legumes, Vegetables, Leafy Greens","High in protein and fiber, slows glucose absorption; Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,349,42,Dinner,1 medium serving,Consume freshly prepared for best benefits,130.62,
2 roti and bindi sabji and salad,80,6.5,13.0,0.4,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Multigrain Roti with Tinda Sabzi,"Vegetables, Leafy Greens, Spices","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,342,34,Lunch,1 medium serving,Consume freshly prepared for best benefits,79.73,Dinner
1 bowl of rice and sambar ,45,1.0,10.0,0.2,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti sabji and Sprouted Moong Salad,"Leafy Greens, Vegetables, Whole Grains","Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,299,52,Lunch,1 medium serving,Consume freshly prepared for best benefits,44.59,
2 roti and capsicum sabji with salad ,120,7.0,20.0,1.0,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable Stew with Coconut Milk,"Legumes, Leafy Greens, Low-fat Dairy","High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,278,44,Lunch,1 medium serving,Consume freshly prepared for best benefits,116.02,
1 bowl of vegetable upma,60,1.2,12.0,0.4,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 dosa with coconut chutney,"Spices, Low-fat Dairy, Whole Grains","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,172,47,Breakfast,1 medium serving,Consume freshly prepared for best benefits,64.07,
2 roti with paneer sabji ,15,0.3,3.2,0.1,Kashaya,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with Cabbage Stir-fry ,"Legumes, Low-fat Dairy, Spices","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,259,33,Dinner,1 medium serving,Consume freshly prepared for best benefits,14.79,
1 bowl of rice and sambar ,25,1.0,4.0,0.2,Madhura,Sheeta,Madhura,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with Mixed Vegetable Curry,"Vegetables, Leafy Greens, Legumes","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,248,37,Lunch,1 medium serving,Consume freshly prepared for best benefits,23.12,Breakfast
2 methi thepla with 1 cup of curd,120,4.0,24.0,1.0,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 jowar roti Baingan Bharta ,"Vegetables, Low-fat Dairy, Leafy Greens","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,196,45,Dinner,1 medium serving,Consume freshly prepared for best benefits,124.47,
2 mooli paratha,90,6.0,15.0,1.0,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of vegetable upma,"Vegetables, Whole Grains, Legumes","Rich in fiber and low GI, promotes stable blood sugar; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,295,32,Breakfast,1 medium serving,Consume freshly prepared for best benefits,94.14,
